Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.84256060230578
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.56690869267138
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.51155296505032
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.626279284065059
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.39862723308259
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.87756675968273
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.619366345332479
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.388598014975531
Population growth (annual %),SP.POP.GROW,Iceland,ISL,1.38808149583838
Population growth (annual %),SP.POP.GROW,India,IND,1.19162966402099
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.0744882002252
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.43348558597155
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.39151227352058
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.28405485082411
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,-0.152042122202678
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.9603489624817
Population growth (annual %),SP.POP.GROW,Italy,ITA,-0.190090486385849
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.263022586225724
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.0511374152133631
Population growth (annual %),SP.POP.GROW,Jordan,JOR,4.72325254401232
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.53335297365685
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.20775684612709
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.41358025249878
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.479685660941037
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.396851823381145
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-0.600477091754396
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,4.32594906785888
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2.21536456642779
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.56317561333482
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.913885332226604
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,-2.33543749400836
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.21894302061673
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.04312155500225
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.52399514586306
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.590348742843119
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-1.16730651563847
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,2.15531198799205
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.48219480492074
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,-0.320367473371963
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.61335935661539
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.72595787740448
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.76731054757933
Population growth (annual %),SP.POP.GROW,Maldives,MDV,3.47818441091268
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.16701291267986
Population growth (annual %),SP.POP.GROW,Malta,MLT,2.28889794467689
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,-2.26102535172131
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.99795842489143
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.0687082325715694
